GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,SoVI_Score_Weighted
5051010800,Arkansas,Garland ,2019,2471,1051,0.2307,0.4978,37.3,0.2157,0.0028,0.004,0.0267,0.4452,0.5548,0.1665,0.5055,0.1211,0.04,0.5528,24095.0,0.0963,0.3538,0.0,0.6175,1.79,0.0436,0.2636,0.2084,0.0441,0.0316,0.3457,0.2522,0.2356,535,95700,1.5654371185627922,1.7987261684550888,0.8118815062202293,-0.32361885311678035,-0.03293218641774022,-0.6886195165780052,0.8637978996129215
5051010900,Arkansas,Garland ,2019,3345,1593,0.3755,0.5378,46.2,0.0762,0.0,0.0,0.1489,0.5355,0.4645,0.0973,0.448,0.0977,0.0069,0.5261,22067.0,0.0474,0.2524,0.0079,0.5072,2.1,0.0326,0.1099,0.3289,0.0918,0.0557,0.2796,0.2466,0.2007,795,92300,3.697142200901649,0.5974287945120716,1.7512805296697944,1.016967140206848,1.0895191382601104,-0.758053401747176,0.936124601605523
5051011000,Arkansas,Garland ,2019,4850,2162,0.2025,0.547,41.4,0.0773,0.0,0.0043,0.0771,0.497,0.503,0.1559,0.6065,0.0876,0.037,0.364,26386.0,0.1099,0.1661,0.0178,0.3978,2.24,0.3577,0.0846,0.241,0.1526,0.0237,0.2164,0.1693,0.1455,847,96600,1.4358806147799297,0.13681207965909245,-0.23579956456840415,-0.11039246895425611,0.9667336474836782,0.6785269211598192,0.09659489069989821
5051011100,Arkansas,Garland ,2019,8782,3381,0.2449,0.5005,48.5,0.0221,0.0132,0.005,0.0161,0.6692,0.3308,0.0944,0.4529,0.1246,0.0417,0.3854,31463.0,0.0321,0.1607,0.0,0.1834,2.59,0.2025,0.0293,0.1192,0.1207,0.0273,0.0764,0.2101,0.1357,732,165900,-0.37848150401292663,-0.7961721605240598,0.365710258446657,0.0065351561330044775,0.03498006257110774,0.010465179360363931,-0.22308462932100212
5051011200,Arkansas,Garland ,2019,9202,3626,0.2408,0.5236,40.0,0.0268,0.0057,0.0,0.0364,0.715,0.285,0.1227,0.5,0.0721,0.0301,0.3844,30917.0,0.0415,0.1373,0.0053,0.3125,2.54,0.0626,0.0041,0.1553,0.084,0.0159,0.1335,0.1473,0.1502,868,177400,-0.46624450650339,-0.6552288506376216,-0.28018022027841916,-0.39046759986779517,0.8211555495620135,0.03847661471843234,-0.3422331622970402
5051011300,Arkansas,Garland ,2019,4958,2023,0.2132,0.5486,35.9,0.2507,0.0,0.0022,0.1807,0.4443,0.5557,0.1898,0.5286,0.1369,0.0153,0.3277,22724.0,0.041,0.3398,0.0,0.3342,2.44,0.0046,0.1102,0.1611,0.2634,0.1316,0.2453,0.1503,0.2162,761,104900,3.8359955824797183,0.35766106717717167,-0.017817499396833626,2.132823347312363,1.2422455068169287,0.12108316057008857,0.6053053708760047
5051011400,Arkansas,Garland ,2019,3372,1229,0.2272,0.5314,30.6,0.1904,0.0098,0.0,0.2037,0.5381,0.4619,0.2262,0.535,0.1706,0.0114,0.4402,16713.0,0.0377,0.3815,0.0,0.5167,2.66,0.0269,0.1237,0.2571,0.1287,0.0466,0.1878,0.2224,0.2479,784,75800,3.56813914813901,0.7693254493869697,0.06955600693867113,1.0360731001649022,1.2408409618539613,0.4523436297945053,0.6389332895564317
5051011500,Arkansas,Garland ,2019,2285,926,0.1882,0.5558,36.8,0.3431,0.0031,0.021,0.1125,0.4572,0.5428,0.1749,0.5407,0.2013,0.013,0.3834,16547.0,0.0838,0.3943,0.0066,0.6555,2.33,0.0295,0.2365,0.3002,0.2234,0.0528,0.382,0.2587,0.2627,669,70900,4.215169032248839,1.982005405137522,0.5146522837081854,1.4013539889314892,0.5466494600072845,-0.22949210553564167,1.2206458865767533
5051011601,Arkansas,Garland ,2019,5236,2223,0.3214,0.5399,48.4,0.0344,0.0,0.0273,0.0097,0.8064,0.1936,0.0994,0.507,0.0833,0.0531,0.4575,31047.0,0.0524,0.1363,0.0171,0.3333,2.27,0.0459,0.148,0.2002,0.0784,0.0252,0.052,0.1827,0.1496,729,161300,0.7247659497214336,-0.1731269884805337,1.1954554719185626,-0.04179624829116905,1.024738571691188,-1.2805048571166142,0.25080350634307635
5051011602,Arkansas,Garland ,2019,4967,1916,0.2766,0.5138,47.2,0.0554,0.0368,0.0097,0.0389,0.7302,0.2698,0.1242,0.4636,0.06,0.0553,0.3299,31818.0,0.0543,0.1441,0.0077,0.2307,2.43,0.1069,0.0162,0.0673,0.0765,0.0,0.0794,0.119,0.1393,959,165500,-1.3624814180396112,-0.8344640239261464,0.01827924460062618,-0.511691181889334,0.37406843433872505,-0.408673891163482,-0.41985434887224465
