GEOID,Total_Pop,Total_HH,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QED12LES,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QGROUP,QHISP,QHSEBRDN,QMOHO,QNATAM,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,Year
47037018202,6528,3374,1066,266400,32.1,36989,1.93,0.1376,0.0256,0.1693,0.0768,0.0468,0.0385,0.0114,0.5414,0.5487,0.5429,0.0945,0,0.0539,0.1959,0,0,0.0243,0.1478,0.1495,0.6885,0.0403,0.114,0.1642,0.0786,2012
47015960200,6531,2507,541,104300,41.9,17570,2.56,0.2255,0,0.0214,0.1697,0.2219,0.0076,0.0907,0.6384,0.5459,0.4996,0.1635,0.0159,0.0179,0.2206,0.2087,0.0005,0.059,0.164,0.1876,0.2533,0.0068,0.1789,0.3797,0.1253,2012
47167040500,6538,2118,836,139500,33,21334,3.09,0.1172,0.0222,0.0837,0.0984,0.0919,0.0222,0.1263,0.6438,0.4917,0.4801,0.1709,0,0.041,0.1846,0.1482,0.0006,0.0198,0.1337,0.1354,0.2191,0.0109,0.1989,0.1808,0.0632,2012
47065011311,6549,2203,734,178800,42.3,25414,2.39,0.2286,0.0199,0.2161,0.0614,0.2384,0.0367,0.1677,0.7081,0.4706,0.4398,0.1003,0.1976,0.0545,0.1816,0.1795,0.0024,0.0713,0.132,0.1309,0.2919,0.0558,0.2026,0.2996,0.1192,2012
47149040808,6577,2032,1806,208100,34.5,29450,3.21,0.1221,0.0263,0.064,0.0609,0.071,0.0114,0.0843,0.8895,0.4931,0.4693,0.0714,0.0071,0.0097,0.1147,0.0341,0.0033,0.0207,0.1021,0.081,0.0763,0.0571,0.1301,0.19,0.0896,2012
47163041200,6592,2824,643,157000,47,32685,2.33,0.2404,0.0111,0.0073,0.0521,0.0554,0.003,0.0835,0.7817,0.5337,0.49,0.0822,0.0032,0.0056,0.1307,0.0576,0.0042,0.0312,0.0874,0.1098,0.25,0.0351,0.1211,0.4093,0.0652,2012
47037015612,6617,3032,886,140400,30.6,25330,2.18,0.1603,0.0103,0.3609,0.059,0.0745,0.1108,0.0413,0.5152,0.5332,0.5339,0.1201,0,0.1067,0.2467,0.0042,0,0.0162,0.2107,0.0849,0.6669,0.0191,0.1921,0.1154,0.0957,2012
47145030201,6624,2764,624,123000,45.8,25592,2.39,0.1917,0,0.0133,0.1053,0.1497,0.0089,0.1719,0.7043,0.4872,0.4223,0.0655,0.0033,0.019,0.0832,0.2492,0,0.0116,0.1184,0.085,0.1979,0.0195,0.1571,0.3632,0.0618,2012
47151975100,6624,2713,347,86900,38.4,24836,2.42,0.1851,0.0027,0,0.1386,0.2556,0.0024,0.0895,0.5319,0.5257,0.4737,0.1537,0.0088,0,0.1736,0.2393,0,0.1124,0.1426,0.2387,0.2801,0.021,0.2293,0.3387,0.1601,2012
47125102002,6630,2335,1079,148800,28,23165,2.84,0.1626,0.0265,0.1851,0.1121,0.0583,0.0481,0.0774,0.621,0.544,0.5443,0.1499,0,0.1264,0.1101,0.0224,0.0139,0,0.0793,0.1314,0.2578,0.0184,0.1549,0.0904,0.1684,2012
