GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QEXTRCT,QSERV,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47015960200,2014,6199,2443,0.2486,0.5477,43,0.0148,0.0013,0.0016,0.0081,0.6644,0.1609,0.1725,0.0016,0.388,17757,0.1746,0.0965,0.1553,0.5023,0.1041,0.2935,2.5,0.2028,0.0634,588,0.2198,106400,0.1723,0.0055,0.2072,0.0161
47143975300,2014,6208,2251,0.2051,0.4816,36.5,0.0295,0.001,0,0.0359,0.6482,0.1604,0.303,0.0036,0.3563,14004,0.1399,0.082,0.2048,0.4321,0.111,0.299,2.72,0.4143,0.0649,594,0.1924,70800,0.1442,0.0182,0.3183,0.0121
47157010810,2014,6208,1980,0.1453,0.5738,28.5,0.784,0,0.0408,0.101,0.4365,0.3662,0.1477,0.0096,0.1414,15301,0.1511,0.0793,0.2329,0.5888,0.1677,0.498,3.13,0,0.0813,858,0.3934,83800,0.1812,0.0404,0.2706,0.0005
47023970100,2014,6219,2239,0.2806,0.4893,41.9,0.0809,0.0011,0.0016,0.0433,0.7928,0.1121,0.2052,0.0402,0.4484,22502,0.0886,0.1864,0.1528,0.4296,0.1405,0.1787,2.77,0.2292,0.054,657,0.1371,89700,0.1614,0.0293,0.1632,0.004
47157021020,2014,6229,2128,0.1506,0.5261,39.4,0.2238,0,0.0684,0.0588,0.9406,0.0663,0.0706,0.14,0.2505,40666,0.0408,0.0894,0.1273,0.403,0.0941,0.1847,2.93,0.0047,0.0038,1161,0.2439,237000,0.1442,0.0485,0.062,0
47177930800,2014,6230,2350,0.2228,0.4815,35.6,0.0162,0.0018,0,0.0456,0.7038,0.1391,0.1793,0.0043,0.3238,19285,0.1268,0.1473,0.1019,0.4272,0.0986,0.24,2.63,0.1864,0.0494,579,0.1396,121300,0.1125,0.0297,0.202,0.0063
47031970802,2014,6236,2603,0.233,0.514,43.7,0.0225,0,0.0226,0.0047,0.8185,0.0972,0.1312,0.0123,0.4456,23471,0.1242,0.0611,0.2179,0.4596,0.0694,0.267,2.37,0.1931,0.028,679,0.1982,130000,0.1778,0.0151,0.1229,0.0088
47163043302,2014,6238,2452,0.2441,0.5026,40.4,0.0072,0.0175,0.0011,0.0026,0.6533,0.1048,0.2165,0.0126,0.4555,19301,0.082,0.1344,0.2329,0.4952,0.1183,0.2104,2.54,0.2826,0.0583,639,0.144,91500,0.2071,0.0026,0.2402,0.0021
47031970200,2014,6251,2455,0.2404,0.5137,36.9,0,0.0027,0,0.0554,0.7183,0.1018,0.2087,0.0314,0.3165,21206,0.1121,0.0912,0.094,0.4466,0.1153,0.1772,2.55,0.2137,0.0037,574,0.1422,121800,0.1264,0.0275,0.2456,0
47113001502,2014,6255,2180,0.2149,0.5407,40.9,0.0691,0,0,0.0141,0.735,0.1312,0.1232,0.0128,0.3858,24021,0.0659,0.1277,0.1573,0.4771,0.0778,0.1399,2.87,0.2094,0.033,647,0.1229,95100,0.1422,0.0038,0.1358,0.0003
47149041402,2014,6255,2716,0.2016,0.5215,28.4,0.1869,0.0066,0.0219,0.1452,0.4332,0.144,0.0848,0.0029,0.2194,20080,0.0924,0.0439,0.2331,0.4948,0.117,0.7644,2.3,0.0774,0.0556,826,0.2901,132500,0.1701,0.0575,0.2721,0.0021
47043060602,2014,6264,2462,0.1879,0.5578,34.5,0.1207,0,0.0244,0.0988,0.5757,0.2242,0.1946,0.0057,0.3123,18876,0.071,0.0791,0.1901,0.4912,0.0871,0.5707,2.54,0.099,0.121,716,0.2969,147700,0.1359,0.0516,0.2219,0.0008
47177930200,2014,6293,2480,0.1808,0.4904,41.2,0.0086,0.0043,0,0.0815,0.6337,0.1,0.2177,0.0246,0.3677,25115,0.0907,0.1337,0.1963,0.41,0.113,0.2274,2.53,0.2171,0.0468,479,0.1363,94200,0.1595,0.0273,0.1748,0.0029
47035970200,2014,6295,2559,0.2518,0.5017,45.9,0.0002,0.0251,0,0.0176,0.767,0.0317,0.1946,0.0188,0.4838,22476,0.0937,0.1259,0.1732,0.4882,0.0844,0.129,2.46,0.1481,0.0371,567,0.1161,151900,0.1566,0.014,0.0759,0.0002
47149040308,2014,6297,2216,0.1316,0.5241,32.7,0.1453,0.0081,0.0446,0.0715,0.4535,0.1024,0.0324,0.0555,0.1498,32773,0.0319,0.0917,0.1099,0.4426,0.0786,0.1688,2.84,0.0058,0.0108,793,0.0749,142000,0.0862,0.0146,0.0438,0
47125102006,2014,6301,2074,0.1376,0.5223,30.2,0.1852,0,0.0422,0.1278,0.803,0.2117,0.0947,0.0058,0.163,24176,0.0528,0.0756,0.1681,0.5668,0.1029,0.2155,3.04,0,0.0048,1218,0.108,167900,0.0467,0.0585,0.0874,0
47065010501,2014,6313,2666,0.2566,0.5082,40.4,0.0968,0,0.0143,0.0049,0.548,0.1257,0.0619,0.0049,0.3492,24729,0.1001,0.0967,0.1947,0.5357,0.0717,0.2899,2.35,0,0.0431,811,0.1058,128100,0.1209,0.0049,0.1018,0.007
