GEOID,Year,Total_Pop, Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QNOHLTH,QESL,QPOVTY,QGROUP
47015960200,2015,6274,2487,0.2391,0.5481,41.7,0.0209,0.0013,0.0011,0.0183,0.6907,0.1624,0.1753,0.0016,0.3534,18657,0.1751,0.1417,0.0869,0.4806,0.1105,0.3209,2.48,0.1785,0.0651,605,0.1886,114100,0.1493,0.0074,0.2173,0.0156
47015960300,2015,3771,1348,0.2137,0.5171,38.4,0.017,0,0.0149,0.0284,0.7201,0.0905,0.1939,0.0178,0.4607,27078,0.1126,0.1604,0.1463,0.4671,0.0761,0.1521,2.8,0.257,0.0534,654,0.0979,131600,0.0811,0.0149,0.1282,0
47017962000,2015,4482,1745,0.2586,0.4962,42.9,0.0823,0.0049,0.0004,0.0406,0.6958,0.1152,0.2497,0.0264,0.4407,17556,0.0845,0.1972,0.1319,0.4755,0.191,0.2298,2.51,0.2476,0.0418,588,0.1381,59600,0.1393,0.0062,0.2833,0.0232
47017962100,2015,6817,2585,0.2145,0.5482,44.9,0.1237,0,0.0054,0.027,0.649,0.1621,0.2313,0.0074,0.4124,18652,0.1401,0.1202,0.1113,0.4944,0.1162,0.2379,2.55,0.1118,0.0959,528,0.1791,90700,0.1065,0.0038,0.2099,0.0337
47017962201,2015,3056,1267,0.2723,0.5275,40.4,0.1351,0,0.0007,0,0.5093,0.1358,0.2535,0.0047,0.3717,17101,0.1034,0.1991,0.0781,0.4874,0.1604,0.322,2.36,0.0921,0.1231,445,0.1389,84800,0.131,0.0007,0.2928,0.0196
47017962202,2015,4663,1731,0.244,0.4988,33.5,0.06,0.0054,0.0019,0.0174,0.7168,0.0635,0.1614,0.0139,0.3593,19341,0.0816,0.1854,0.0707,0.4646,0.115,0.3079,2.37,0.1028,0.1011,730,0.2548,102300,0.0473,0.0098,0.1695,0.1212
47017962300,2015,4643,1880,0.2699,0.5094,43.7,0.1027,0.0022,0.0004,0.0327,0.7679,0.0915,0.1966,0.0011,0.3995,19294,0.1057,0.1914,0.1121,0.501,0.1942,0.2771,2.47,0.1655,0.0319,571,0.1335,76800,0.1504,0.0009,0.1687,0
47017962400,2015,2568,1065,0.2539,0.4474,44.7,0.1141,0.0202,0.0027,0.0078,0.8481,0.0873,0.2337,0.0235,0.4676,22191,0.1953,0.1452,0.1483,0.4118,0.1608,0.1784,2.41,0.2821,0.0235,680,0.1099,83000,0.1488,0.0037,0.1612,0
47017962500,2015,2124,895,0.2618,0.5282,46.4,0.1262,0.0042,0.0024,0.0155,0.7829,0.1117,0.1747,0.0145,0.4313,21792,0.1095,0.1589,0.1485,0.4745,0.1573,0.2413,2.37,0.3559,0.0916,508,0.1642,83800,0.1238,0.001,0.1507,0
47017980100,2015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
47019070100,2015,1974,928,0.3663,0.5157,54.2,0.0198,0.0025,0,0.0035,0.7089,0.0625,0.2966,0.0054,0.6315,16204,0.1333,0.2091,0.0848,0.5621,0.0757,0.5086,1.85,0.0558,0.1907,395,0.2425,101900,0.1254,0.0063,0.2,0.1312
47019070200,2015,4220,1738,0.2348,0.5431,41.9,0.0081,0,0.0028,0.0559,0.8259,0.1013,0.0739,0.0236,0.4091,24399,0.0408,0.2327,0.1161,0.506,0.0482,0.2785,2.35,0.1008,0.0466,590,0.1858,142100,0.1376,0.0142,0.1661,0.0341
47019070300,2015,5486,2401,0.2732,0.5492,47.7,0.0715,0.0029,0.0022,0.0089,0.4418,0.1762,0.2015,0.0137,0.5115,20236,0.1241,0.2186,0.0528,0.5541,0.1342,0.4569,2.14,0.0155,0.0641,549,0.2062,105500,0.1485,0.0027,0.293,0.064
47019070400,2015,2083,944,0.289,0.5084,39.8,0.0067,0.0019,0,0.001,0.5381,0.1864,0.2263,0.0138,0.4386,17581,0.1058,0.1646,0.0612,0.5224,0.0781,0.2828,2.21,0.0459,0.1176,,0.1811,91100,0.1152,0,0.349,0
47019070500,2015,4011,1701,0.2368,0.5049,43.7,0,0.0017,0,0.0045,0.7654,0.1481,0.1557,0.0141,0.4339,21668,0.0461,0.1614,0.1578,0.4223,0.133,0.2075,2.36,0.1631,0.0494,519,0.1358,123700,0.1306,0.0042,0.1353,0
47019070600,2015,2809,1115,0.2293,0.5215,40.8,0.0028,0,0,0.0085,0.8803,0.1417,0.2019,0,0.4108,16501,0.101,0.2239,0.1193,0.5436,0.0614,0.3381,2.52,0.2407,0.0224,621,0.1686,93200,0.1645,0.0072,0.2335,0
47019070700,2015,3209,1332,0.2412,0.4796,44.1,0,0,0,0.0215,0.8797,0.0631,0.1984,0.0075,0.3754,22698,0.036,0.16,0.1263,0.4275,0.1351,0.1404,2.41,0.2435,0.0511,585,0.1254,126500,0.1368,0.008,0.1265,0
47019070800,2015,2562,1227,0.2779,0.5074,44.6,0.0148,0.0051,0.0148,0,0.8703,0.097,0.1728,0,0.3847,21135,0.0559,0.173,0.113,0.5012,0.1858,0.4067,2.09,0.0624,0.0489,488,0.1948,141100,0.1491,0.0054,0.2037,0
47019070900,2015,3736,1315,0.1981,0.5527,27.3,0.0364,0,0,0.0605,0.7291,0.1224,0.0778,0,0.3247,17530,0.078,0.2968,0.0579,0.5802,0.0739,0.4312,2.38,0.0739,0.0259,655,0.2692,132000,0.1389,0.0094,0.233,0.1614
47019071000,2015,3071,1292,0.2299,0.5314,41,0.0085,0,0.0078,0.0046,0.8243,0.0944,0.2473,0.0093,0.346,18387,0.0784,0.2551,0.1347,0.5252,0.1003,0.3707,2.38,0.1831,0.0379,611,0.2252,116500,0.1511,0.0108,0.2612,0
47019071100,2015,1687,657,0.2021,0.4535,48.4,0,0.0012,0.0012,0.0012,0.8365,0.0928,0.1628,0.0091,0.4307,18746,0.0478,0.1902,0.1044,0.3791,0.1788,0.1233,2.57,0.2188,0.0091,642,0.2024,131300,0.2063,0,0.2017,0
47019071200,2015,3936,1668,0.2058,0.5061,39.8,0,0,0,0.0127,0.6863,0.0941,0.1853,0.0084,0.4191,17523,0.1097,0.2386,0.1263,0.4608,0.1066,0.3004,2.36,0.256,0.0546,538,0.1954,82600,0.1923,0.0061,0.3134,0
47019071300,2015,7455,3108,0.2292,0.4826,44.9,0,0.0126,0,0.0118,0.636,0.1258,0.1693,0.0045,0.3787,17231,0.081,0.1608,0.1052,0.4354,0.1198,0.2745,2.4,0.2342,0.0534,610,0.2043,98000,0.1348,0,0.2481,0
47019071400,2015,3148,1466,0.1998,0.5283,46.2,0,0.0025,0.0206,0.0133,0.5996,0.0975,0.2134,0,0.4386,18474,0.091,0.2948,0.1246,0.4772,0.1243,0.221,2.15,0.2646,0.0566,519,0.1678,106900,0.1314,0,0.2577,0
47019071500,2015,2117,925,0.2792,0.5125,48.8,0.0043,0.009,0.009,0.0024,0.6312,0.0789,0.3101,0.0032,0.4951,15977,0.1019,0.1532,0.2227,0.434,0.2285,0.2205,2.29,0.2327,0.1016,546,0.1416,76000,0.1318,0.0164,0.256,0
47019071600,2015,1446,608,0.2739,0.4952,46.3,0,0,0.0145,0.0187,0.7638,0.074,0.3524,0.0214,0.4967,22524,0.0993,0.2523,0.215,0.4542,0.4103,0.1151,2.36,0.2299,0.0625,496,0.1414,75400,0.1459,0,0.352,0.009
