GEOID,Year,Total_Pop,Total_HH,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QFHH,QED12LES,QRICH,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QFEMLBR,QUNOCCHU,QRENTER,PPUNIT,QMOHO,QNOAUTO,MDGRENT,QHSEBRDN,MDHSEVAL,QESL,QPOVTY,QNOHLTH,QGROUP
47035970601,2013,5022,2015,0.2624,0.5257,46.3,0.0002,0.0026,0,0.0444,0.7711,0.0983,0.1378,0.0501,0.4417,28642,0.0374,0.1495,0.0361,0.5215,0.1178,0.1429,2.48,0.0333,0.0665,605,0.0948,166000,0.0086,0.108,0.107,0.0054
47093006206,2013,5022,1725,0.1645,0.5145,38.6,0,0.0052,0,0.0048,0.8077,0.12,0.0803,0.0249,0.2725,28830,0.0681,0.1515,0.0761,0.5059,0,0.0603,2.9,0.0423,0.0151,882,0.1223,176400,0,0.0326,0.0793,0.0056
47093003801,2013,5025,2190,0.1417,0.5371,25.9,0.0894,0.0028,0.0537,0.1156,0.5243,0.0868,0.1294,0,0.1443,19466,0.0547,0.2042,0.0623,0.4855,0.1025,0.6616,2.29,0,0.026,831,0.3187,128700,0.1014,0.2488,0.2368,0.0038
47163043600,2013,5028,2004,0.2074,0.4936,41.8,0.0105,0,0.0062,0.0082,0.7746,0.0968,0.0898,0.0429,0.3393,27550,0.0842,0.1392,0.0759,0.4975,0.0502,0.1642,2.51,0.0872,0.0115,642,0.1138,147500,0.013,0.1679,0.072,0.0012
47157021140,2013,5029,2030,0.1638,0.4643,37.4,0.1975,0,0.033,0.0499,0.639,0.0468,0.0468,0.0094,0.2167,31792,0.0682,0.1006,0.0443,0.3868,0.0496,0.4384,2.48,0,0.0064,861,0.0906,165300,0.0516,0.1165,0.1686,0
47037015624,2013,5031,2022,0.1296,0.5317,29,0.2385,0.031,0.008,0.0811,0.495,0.1815,0.0931,0.0084,0.1073,23408,0.0557,0.1853,0.0563,0.4951,0.1104,0.4614,2.49,0,0.0519,888,0.2587,136100,0.0761,0.1799,0.0908,0
47129110500,2013,5031,1891,0.1874,0.55,40,0.0006,0,0.0087,0.0032,0.703,0.1243,0.169,0.0074,0.3649,17674,0.0858,0.2293,0.1369,0.5379,0.1373,0.1608,2.65,0.2842,0.0143,704,0.1449,86600,0.007,0.2789,0.1282,0.0036
47089070200,2013,5033,1819,0.1842,0.4971,42.1,0.0066,0.0117,0,0.007,0.6857,0.0984,0.2403,0.028,0.3639,23010,0.196,0.1788,0.1207,0.4645,0.1044,0.2001,2.77,0.3373,0.0176,530,0.1759,103900,0.0033,0.169,0.1446,0
47125101306,2013,5035,1757,0.1184,0.5241,26.4,0.2649,0.0062,0.0137,0.1917,0.5535,0.2231,0.0689,0.0034,0.0717,18699,0.1523,0.2135,0.0538,0.5187,0.1004,0.3369,2.86,0,0.0398,880,0.169,117500,0.0805,0.2325,0.1068,0.0004
47165020102,2013,5041,1840,0.2019,0.5429,41.4,0,0,0,0.0091,0.4606,0.1435,0.3333,0.0168,0.4348,17666,0.101,0.1619,0.1185,0.454,0.1213,0.2212,2.74,0.2049,0.0386,540,0.1978,112000,0.0008,0.1686,0.1073,0
