,GEOID,State Name,County Name,Year,TOTALPOP,TOTALHHOLD,QAGEDEP,QFEMALE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QFAM,QSNGPKIDS,QFHH,QFEMLBR,QED12LES,QRICH200K,QSSBEN,PERCAP,QCVLUN,QSERV,QEXTRCT,QRENTER,PPUNIT,QMOHO,QNOAUTO,QHSEBRDN,QUNINSUR,QESL,QPOVTY,QDISABLE,QUNOCCHU,MDGRENT,MDHSEVAL,SoVI_Score,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
60998,47125100900,Tennessee,Montgomery ,2019,2346,1144,0.1194,0.4591,36.6,0.3248,0.009,0.0081,0.1735,0.2185,0.7815,0.215,0.4118,0.1604,0.0131,0.1748,22976.0,0.0651,0.1998,0.0129,0.8147,2.05,0.2621,0.1399,0.1783,0.2228,0.1055,0.2685,0.2689,0.2595,792,81600,0.03087019610298447,1.2149376193169088,-1.0407400137503233,1.0757648013070513,0.6094742465138191,-1.8285664572844713
60999,47125101001,Tennessee,Montgomery ,2019,4222,1533,0.2186,0.5192,31.9,0.2492,0.0014,0.0111,0.0983,0.5385,0.4615,0.2603,0.5121,0.1075,0.013,0.2603,20928.0,0.0482,0.2408,0.0,0.4736,2.75,0.048,0.0796,0.229,0.1078,0.0336,0.1829,0.1758,0.124,966,114100,1.1575583495349229,0.18701601257344885,-0.6810024813269646,0.32998424748736926,0.4502832725763252,0.8712772982247441
61000,47125101002,Tennessee,Montgomery ,2019,3524,1264,0.147,0.5096,31.9,0.1967,0.0057,0.0315,0.1044,0.6344,0.3656,0.1646,0.5433,0.0701,0.0332,0.1796,26738.0,0.0246,0.13,0.0,0.2737,2.79,0.0087,0.0222,0.2278,0.0857,0.0305,0.1617,0.216,0.0814,942,124000,-0.9125388641460979,-0.46861578676612964,-1.390260245917681,0.026968241042060852,0.273728648527634,0.6456402789680178
61001,47125101101,Tennessee,Montgomery ,2019,2707,1009,0.2527,0.4847,27.6,0.2028,0.003,0.0081,0.1352,0.4988,0.5012,0.2279,0.4975,0.0915,0.004,0.3013,20568.0,0.1087,0.3162,0.0149,0.5421,2.68,0.0126,0.0694,0.2131,0.1386,0.0376,0.2346,0.1774,0.1542,912,127200,1.4182536864446824,0.6241955883927266,-0.5135464643457874,0.6219901371512915,0.43967432981294147,0.24594009543351034
61002,47125101102,Tennessee,Montgomery ,2019,8002,2997,0.1951,0.5187,29.6,0.2624,0,0.0131,0.1505,0.579,0.421,0.1859,0.4688,0.0917,0.0,0.1668,19282.0,0.0485,0.2731,0.0044,0.3577,2.67,0.0489,0.0797,0.2462,0.0998,0.0325,0.2167,0.1536,0.1326,1041,115500,0.2546704288731999,0.07478068684626156,-1.2017591474843357,0.5266493795892271,0.4987461476498804,0.3562533622721666
61003,47125101103,Tennessee,Montgomery ,2019,2589,904,0.2383,0.477,33.0,0.1336,0.0023,0.0216,0.1336,0.7511,0.2489,0.156,0.4566,0.103,0.0122,0.3086,25861.0,0.0842,0.189,0.0,0.229,2.86,0.0136,0.0066,0.1604,0.1026,0.0104,0.1186,0.191,0.124,1240,139600,-0.044853395826920474,-0.3299931974838941,-0.33356550035624305,0.45755557465833935,0.22098756371866315,-0.059837836363785875
61004,47125101201,Tennessee,Montgomery ,2019,2217,908,0.1768,0.548,28.5,0.2905,0.0338,0.0532,0.1376,0.4154,0.5846,0.2588,0.5409,0.1245,0.0,0.2203,22223.0,0.1583,0.2153,0.0182,0.6806,2.44,0.0468,0.12,0.2379,0.1139,0.0655,0.1978,0.2173,0.115,804,127200,1.4386984639914062,0.8843176525690392,-0.8448765726584861,0.5935662146559633,0.1007582634211475,0.7049329060037424
61005,47125101202,Tennessee,Montgomery ,2019,4279,1628,0.1669,0.4756,30.5,0.1851,0.0199,0.0208,0.1089,0.6979,0.3021,0.1818,0.5178,0.0516,0.0098,0.2119,23587.0,0.0785,0.2871,0.004,0.4545,2.63,0.2493,0.0319,0.105,0.0908,0.0107,0.1364,0.1996,0.1118,940,118400,-0.9994232515388202,-0.3738888848538084,-1.474787143974625,-0.17174470494301466,1.1178066905623665,-0.09680920832973851
61006,47125101303,Tennessee,Montgomery ,2019,11211,4068,0.1836,0.4988,26.4,0.2977,0.0127,0.0432,0.1226,0.736,0.264,0.1091,0.5388,0.0582,0.0128,0.1453,23579.0,0.0698,0.1804,0.004,0.5106,2.76,0.0281,0.0236,0.1708,0.057,0.0438,0.1466,0.1501,0.0769,1120,172800,-1.3517685797551833,-0.4029329022900445,-1.7170945515410456,0.1906139566161242,0.16234520147149023,0.4152997159882927
61007,47125101304,Tennessee,Montgomery ,2019,5857,2225,0.1141,0.5054,28.4,0.3389,0,0.0072,0.2354,0.5602,0.4398,0.2252,0.507,0.0586,0.0,0.182,20129.0,0.1105,0.1981,0.0,0.5784,2.63,0.0372,0.0535,0.2274,0.0628,0.0204,0.1803,0.1135,0.0475,861,134600,-0.7580656487971398,-0.11735593026352238,-2.201671263641973,0.28646979972489656,0.6666739868641118,0.6078177585193474
